,precision,recall,f1-score,support
AC,0.72,0.62,0.67,217.0
car horn,0.99,0.63,0.77,153.0
childrens,0.97,0.19,0.32,189.0
dog bark,0.98,0.67,0.79,211.0
drilling,0.24,0.98,0.38,202.0
engine,0.98,0.65,0.78,196.0
gun shot,1.0,0.87,0.93,194.0
jackhammer,0.97,0.78,0.87,198.0
siren,0.9,0.57,0.7,206.0
street music,0.98,0.35,0.52,181.0
accuracy,0.63,0.63,0.63,0.63
macro avg,0.87,0.63,0.67,1947.0
weighted avg,0.87,0.63,0.67,1947.0
